Category,Location,Challenge Name,Tagline,Description,More Info Link,Unlocks/Revealed On
Let's Eat!,Scotty's Market,Scotty's Market Mania,Get some groceries and Mediterranean food at Scotty's Market!,"Operated by locally-owned Salem’s Market and Grill, who started their business 40 years ago in the heart of Oakland, Scotty’s Market is stocked with fresh produce, drinks, snacks, and international and conventional grocery items. The Grill at Scotty’s Market offers a wide selection of savory Mediterranean fare, including beef and lamb gyros, curries, sides, and breakfast sandwiches. Scotty's Market is closed on Fridays from 1-2pm for prayer.",,08/22/2025 9:00 AM
Let's Eat!,Shake Smart,"Shake Smarter, Not Harder",Check out Shake Smart in Highmark Center for some protein shakes and acai bowls!,"Shake Smart is a nutritious, health-forward smoothie and acai bowl location. Their wide-ranging menu includes a mix of protein-packed shakes, fruit-forward smoothies, acai bowls, and more.",,08/22/2025 9:00 AM
Let's Eat!,Stack'd Underground,Super Stack'd Underground,"Grab a burger, some chicken, or a grilled cheese sandwich at Stack'd Underground!","Stack'd Underground combines signature dishes from the popular restaurants in Oakland. The menu includes smash’d burgers from Stack’d, Nashville chicken from CHiKN, and gourmet grilled cheese from Melt’d. In addition the location offers a selection of wraps, salads as well as a variety of vegetarian and halal options. There's also a dessert bar, where you can get made-to-order milkshakes, sundaes, floats, banana splits and more.",,08/22/2025 9:00 AM
Let's Eat!,Tahini,Need Me Some Tahini,Get some Mediterranean food at Tahini!,"Tahini by Elegant Edge serves fresh, authentic Mediterranean cuisine, certified kosher by the Vaad Harabonim of Greater Pittsburgh. The menu features shawarma, vegan eggplant shawarma, falafel pita sandwiches, couscous and hummus bowls, freshly prepared sides including grape leaves, Israeli chopped salad, and zahtar pita fries. Offerings include a variety of plant-based and vegan options.",,08/22/2025 9:00 AM
Let's Eat!,Taste of India,Tasty Taste of India,Grab some Indian food at Taste of India in Resnik!,"Taste of India offers a diverse menu featuring a variety of flavorful dishes from various regions of India. Expect aromatic spices, rich curries, tandoori specialties, and a range of vegetarian and non-vegetarian options. Whether you're a fan of samosas, chicken curry, tandori chicken or butter chicken, Taste of India provide a vibrant tastes of India.",,08/22/2025 9:00 AM
Let's Eat!,Tepper Taqueria,Talking About Tepper Taqueria,Grab some street-style tacos at Tepper Taqueria!,"Traditional, street-style tacos take the stage at Tepper Taqueria. Choose your style (taco, burrito, bowl, or nachos) from the make-your-own menu, and fill it with your choice of house-marinated meats (including a vegetarian, plant-based beef), rice and beans, and delicious, classic toppings.",,08/22/2025 9:00 AM
Let's Eat!,True Burger,A Trip to True Burger,Grab a burger and fries at True Burger!,"At True Burger, you can find a menu of Angus beef, vegan Beyond, turkey and bison burgers, crispy fish sandwiches, and loaded savory fries. Halal burgers, gluten-free buns, and vegan Daiya cheese are available upon request.",,08/22/2025 9:00 AM
Let's Eat!,Zebra Lounge,Zoomin' On Over To Zebra Lounge,Grab some kosher and Halal meals and pastries at Zebra Lounge!,"Nestled within the Great Hall of the College of Fine Arts is the trendy coffeehouse Zebra Lounge, offering a diverse selection of treats. Zebra Lounge brews locally roasted hot and cold Mechanic coffee and espresso drinks, teas, and cold beverages. Explore their wide selection of Vaad-certified kosher and Halal meals, including freshly baked pastries, hearthstone pizza, grab-and-go sandwiches and sushi, and a bagel bar, where you can choose from cream cheese, lox, and fresh vegetables. Zebra Lounge is ideal for starting your day with a delightful breakfast, enjoying a satisfying lunch, delving into an afternoon of focused study, or showcasing your artistic abilities, whether through song, music, or theater.",,08/22/2025 9:00 AM
Minor-Major General,Purnell Lobby,CFA: All The Campus Is A Stage,Check out Purnell Center for the Arts!,"Purnell Center for the Arts houses School of Drama’s state-of-the-art performance spaces, design studios, and classrooms. Throughout the year, School of Drama students hold many performances, including the signature winter showcase ""Playground,"" featuring many student-original short performances.",https://drama.cmu.edu/academics/facilities/,08/20/2025 9:00 PM
Minor-Major General,Intelligent Workspace (MM 312),CFA: Plus Architecture!,Check out the Architecture Studio!,"School of Architecture has two dedicated studios: CFA 200 and the Intelligent Workspace (MM 312). Here, SoA students learn about the discipline of architecture, intensified by the broader Carnegie Mellon culture of interdisciplinary innovation and creative inquiry.",https://www.cmu.edu/homepage/innovation/2007/spring/intelligent-workplace.shtml,08/21/2025 12:00 PM
Minor-Major General,CFA Music Rooms,"CFA: Without Music Rooms, Life Would B Flat",Practice some music in the CFA practice rooms!,"Student practice rooms are located on the mezzanine floor of the College of Fine Arts, containing pianos and music stands. School of Music students have 24/7 access to these rooms.",,08/22/2025 12:00 PM
Minor-Major General,Tepper Breakout Room Floor 2,TSB: Breakout Room 2,Visit the Tepper Breakout Room on the second floor!,There are six breakout spaces dedicated to undergraduate students and 12 dedicated to master’s students. Tepper Students have 24/7 access to these rooms; other students can reserve this space on 25Live.,https://www.cmu.edu/tepper/the-intelligent-future/tepper-quad/index.html,08/20/2025 9:00 PM
Minor-Major General,Tepper Breakout Room Floor 3,TSB: Breakout Room 3,Visit the Tepper Breakout Room on the third floor!,There are six breakout spaces dedicated to undergraduate students and 12 dedicated to master’s students. Tepper Students have 24/7 access to these rooms; other students can reserve this space on 25Live.,https://www.cmu.edu/tepper/the-intelligent-future/tepper-quad/index.html,08/21/2025 12:00 PM
Minor-Major General,Schwartz Center for Entrepreneurship ,TSB: Starting Up,Visit the Schwartz Center For Entrepreneuership in Tepper!,"The hub of entrepreneurship at Carnegie Mellon is the Swartz Center for Entrepreneurship — located within the Tepper Quad — a campus-wide center for innovation that brings together business, technology, and design. Deeply collaborative and extraordinarily supportive, the center’s success stories range from tech to health care to energy. Duolingo, Wigle Whiskey, and Fifth Season are just a few.",https://www.cmu.edu/tepper/the-intelligent-future/swartz-center-for-entrepreneurship.html,08/22/2025 12:00 PM
Minor-Major General,Gates 6 Balcony,SCS: I Can See My Dorm From Here!,Check out the view on the GHC 6 Balcony!,"The Gates 6 Balcony gives you a great view of Forbes Avenue, Tepper, and Smith Hall, and more. SCS students have 24/7 accessto Gates-Hillman Center.",,08/20/2025 9:00 PM
Minor-Major General,Gates Courtyard,SCS: Gates Courtyard,Relax at the courtyard outside GHC 3!,"Below Pausch Bridge lies the Gates-Hillman Center courtyard, with chairs and a volleyball court. This is where, among other events, the SCS end-of-year picnic is held. If you're lucky, you may even see goats grazing on the hill!",https://hcii.cmu.edu/,08/21/2025 12:00 PM
Minor-Major General,Graphics Lounge,SCS: Render Time,Visit the Graphics Lounge in Smith Hall!,"The Carnegie Mellon Graphics Lab conducts cutting-edge research on computer graphics and computer vision, integrating insights from computer science, robotics, and mechanical engineering.",https://graphics.cs.cmu.edu/,08/22/2025 12:00 PM
Minor-Major General,ECE Undergraduate Lounge,CIT: Lounge Days,Hang out in the ECE Undergraduate Lounge!,Located in Hamerschlag Hall is an Undergraduate Lounge dedicated to ECE students.,https://www.ece.cmu.edu/,08/20/2025 9:00 PM
Minor-Major General,CivE Lab (Porter Hall),CIT: CivE Labbing,Experiment in the CivE Lab in Porter Hall!,Located in Port Hall is an Undergraduate Lounge dedicated to Civil Engineering students.,http://coursecatalog.web.cmu.edu/schools-colleges/collegeofengineering/departmentofcivilandenvironmentalengineering/,08/21/2025 12:00 PM
Minor-Major General,Scaife Hall,CIT: MechE Madness,"Visit Scaife Hall, the home of the Mechanical Engineering department!",Mechanical Engineering (MechE) students and their classes will most often be found in Scaife Hall.,https://www.meche.engineering.cmu.edu/,08/22/2025 12:00 PM
Minor-Major General,Baker Hall Entrance,DC: Baking Arts In Baker Hall,"Visit Baker Hall, the home of Dietrich College!","Baker Hall is home to Dietrich College of Humanities and Social Sciences. Dietrich contains 11 different departments, each with over half a dozen undergraduate and graduate degrees.",https://www.cmu.edu/dietrich/index.html,08/20/2025 9:00 PM
Minor-Major General,Hamburg Hall,Heinz: Home Sweet Hamburg,"Visit Hamburg Hall, the home of Heinz College!","Heinz College is the home of ""data-centered social sciences,"" housing the Undergraduate Information Systems major, the Decision Analytics & Systems minor, and over a dozen master's programs.",https://www.heinz.cmu.edu/,08/21/2025 9:00 PM
Minor-Major General,Dietrich Lounge (Baker 154T),DC: Lounge Days,"Visit the Dietrich Lounge, located in Baker Hall!",The Dietrich Lounge is located in the Dietrich College Dean's Office. You can reserve the lounge (and other DC Dean's Office spaces) by contacting hssrooms@andrew.cmu.edu.,https://www.cmu.edu/dietrich/faculty-staff/resources/rooms.html,08/22/2025 12:00 PM
Minor-Major General,Bio Lounge,MCS: Lounge Days (Bio Edition),"Relax in the Bio Lounge, located in Doherty Hall!","Housed within the Mellon College of Science, the Biological Sciences department provides students with rigorous training in Biology, while building a strong foundation in all of the natural sciences. Doherty Hall is the home of Biological Sciences, including labs and their lounge.",https://www.cmu.edu/bio/undergrad/index.html,08/20/2025 9:00 PM
Minor-Major General,Chemistry Lounge,MCS: Lounge Days (Chemistry Edition),"Take a break in the Chemistry Lounge, located in Doherty Hall!","Chemistry majors at CMU learn cutting-edge chemistry in a highly supportive environment with outstanding faculty and superb facilities in both Doherty Hall and Mellon Institute. There are a variety of degree programs to pursue, as well as plenty of research opportunities for these students.",https://www.cmu.edu/chemistry/undergrad/why/index.html,08/21/2025 12:00 PM
Minor-Major General,Physics Lounge (Doherty Hall),MCS: Lounge Days (Physics Edition),"Rest up in the Physics Lounge, located in Doherty Hall!","The Physics Department at Carnegie Mellon University offers a broad range of options for undergraduates, a strong graduate program, and cutting-edge research. While the Physics Department is largely found in Wean Hall and Hunt Library, the Physics lounge is located in Doherty Hall.",https://www.cmu.edu/physics/,08/22/2025 12:00 PM
Off-Campus Adventures,Schenley Park,The Scenery of Schenley Park,Take a stroll around Schenley Park!,"A daily destination for university students, business people, and outdoor enthusiasts, Schenley Park also hosts major annual events such as the Vintage Grand Prix and the Pittsburgh Race for the Cure. Visitors to Schenley Park can spend a morning at Phipps Conservatory, enjoy a light lunch at the Schenley Park Visitor Center, take a ride on the PNC carousel in Schenley Plaza, soak in the sunshine on the Arthur D. Hellman Lawn, relax on Flagstaff Hill, play a round at the Bob O’Connor Golf Course, head to the Schenley Oval Sportsplex for ice skating or summer sports, or take a dip in the swimming pool. And of course, the trails offer a refreshing and convenient escape from city noise and congestion.",https://pittsburghparks.org/explore-your-parks/regional-parks/schenley-park/,08/23/2025 9:00 AM
Off-Campus Adventures,Phipps Conservatory,Green Thumb From Phipps,Visit Phipps Conservatory!,Phipps Conservatory and Botanical Gardens aims to inspire and educate all with the beauty and importance of plants; to advance sustainability and promote human and environmental well-being through action and research; and to celebrate its historic glasshouse.,https://www.phipps.conservatory.org/,08/23/2025 9:00 AM
Off-Campus Adventures,Carnegie Music Hall,How Do You Get To Carnegie (Music) Hall?,Visit Carnegie Music Hall!,"Located inside the Carnegie Museums of Pittsburgh in Oakland, the Carnegie Music Hall seats about 1,900 people. This historic rose and gilt theatre was built in 1895. You may enter the Music Hall from the main Forbes Avenue entrance, next to Dippy the Dinosaur, or from the parking lot in the back of the Carnegie Museum of Art's Scaife Gallery",https://pittsburghlectures.culturaldistrict.org/venues/carnegie-music-hall,08/23/2025 9:00 AM
Off-Campus Adventures,Carnegie Museum of Art,Art-en't You Glad You Went To The Museum?,Visit the Carengie Museum of Art!,"As one of the four Carnegie Museums of Pittsburgh, Carnegie Museum of Art is the longest-running North American survey of international art, and through their many other creative activities, the museum continues to expand the imaginative potential of what a museum can be. Your student ID grants you access to all four Carnegie Museums of Pittsburgh, so be sure to explore them all!",https://carnegiemuseums.org/,08/23/2025 9:00 AM
Off-Campus Adventures,EatUnique,Off-Campus Dining: EatUnique,Have a sandwich or soup at EatUnique!,"EatUnique has been the go-to spot for college students, businesspeople, and local yinzers alike for over 25 years, promoting healthy, local sandwiches, salads, soups, and baked goods.",https://eatuniquecafe.com/,08/23/2025 9:00 AM
Off-Campus Adventures,Subway,Off-Campus Dining: Subway,Visit Subway on Craig Street!,"Subway is one of two off-campus dining locations that accept FLEX dollars! Subway offers build-your-own and speciality subway sandwiches, protein bowls, wraps, and more.",https://www.subway.com/en-us,08/23/2025 9:00 AM
Off-Campus Adventures,Vocelli Pizza,Off-Campus Dining: Vocelli Pizza,Check out Vocelli Pizza on Baum Boulevard,"Vocelli Pizza is one of two off-campus dining locations that accept FLEX dollars! Vocelli Pizza offers both build-your-own and Artisan Pizzas, pastas, desserts, and more.",https://www.vocellipizza.com/,08/23/2025 9:00 AM
Off-Campus Adventures,Manor Theatre,Mind Your Manor Theatre,Watch a movie in Manor Theatre!,"The Manor Theatre located in Pittsburgh’s East End, is one of the oldest and best-known theatres in Pittsburgh. Each evening, they feature a variety of movies that range from comic relief to high-impact drama, from insightful commentary to classic romance. Be part of the incredible moments that movies offer—and let the Manor Theatre entertain you!",https://www.manorpgh.com/,08/23/2025 9:00 AM
Off-Campus Adventures,Carnegie Library of Pittsburgh (Squill Branch),Carnegie Library: The Never-Failing Spring,Visit the Squirrel Hill branch of the Carnegie Library of Pittsburgh!,"Guided by a mission of literacy, exploration and community connections, Carnegie Library of Pittsburgh is a destination space for information, technology, community building, social connection and fun.",https://www.carnegielibrary.org/,08/23/2025 9:00 AM
